@RELATION EEG_DATA

@ATTRIBUTE AF3 NUMERIC
@ATTRIBUTE F7 NUMERIC
@ATTRIBUTE F3 NUMERIC
@ATTRIBUTE FC5 NUMERIC
@ATTRIBUTE T7 NUMERIC
@ATTRIBUTE P7 NUMERIC
@ATTRIBUTE O1 NUMERIC
@ATTRIBUTE O2 NUMERIC
@ATTRIBUTE P8 NUMERIC
@ATTRIBUTE T8 NUMERIC
@ATTRIBUTE FC6 NUMERIC
@ATTRIBUTE F4 NUMERIC
@ATTRIBUTE F8 NUMERIC
@ATTRIBUTE AF4 NUMERIC
@ATTRIBUTE eyeDetection {0,1}

@DATA
4321.54,4007.69,4260,4132.31,4340,4585.64,4087.18,4630.26,4230.26,4242.56,4208.72,4270.26,4627.69,4378.97,0
4317.44,4007.69,4257.44,4128.72,4343.59,4585.13,4088.21,4638.97,4231.79,4247.69,4209.23,4269.74,4625.13,4386.15,0
4311.79,4007.18,4250.77,4125.13,4336.41,4587.18,4087.69,4634.36,4209.23,4232.31,4197.44,4262.05,4615.38,4381.03,0
4308.72,4000,4245.13,4121.54,4329.23,4585.64,4086.67,4617.44,4189.23,4216.41,4186.15,4253.85,4604.1,4362.05,0
4308.21,4002.05,4252.82,4122.56,4332.82,4582.56,4087.69,4610.77,4192.82,4216.41,4189.74,4256.92,4605.13,4360,0
4311.28,4011.28,4265.13,4130.26,4339.49,4583.59,4089.74,4616.41,4200,4220.51,4195.9,4265.64,4611.28,4374.36,0
4311.28,4008.72,4265.13,4130.77,4337.44,4585.64,4087.69,4614.87,4190.26,4218.46,4195.38,4265.64,4608.72,4374.36,0
4306.15,4000.51,4259.49,4121.03,4330.26,4584.1,4085.64,4607.18,4185.13,4216.92,4200,4263.08,4611.28,4369.23,0
4307.18,4003.08,4263.08,4121.54,4330.77,4582.56,4086.67,4611.79,4202.05,4224.62,4208.72,4271.28,4622.56,4379.49,0
4314.87,4008.21,4268.21,4128.21,4335.38,4584.1,4092.31,4625.64,4212.82,4231.28,4210.77,4275.9,4624.62,4382.56,0
4313.85,4003.08,4263.59,4124.1,4336.41,4586.67,4100.51,4633.33,4215.38,4232.82,4207.18,4270.77,4618.97,4372.31,0
4308.21,3997.44,4254.36,4119.49,4332.82,4588.72,4097.95,4628.21,4217.44,4235.38,4208.21,4268.72,4621.54,4368.21,0
4308.72,4006.15,4253.33,4121.03,4330.26,4585.64,4082.05,4614.87,4202.56,4236.41,4208.72,4271.28,4628.21,4370.26,0
4306.15,4007.69,4253.33,4121.03,4330.26,4579.49,4077.44,4607.69,4186.67,4224.62,4198.97,4267.18,4622.56,4367.18,0
4297.44,3992.82,4249.74,4118.46,4330.77,4581.03,4085.64,4609.23,4189.23,4208.72,4187.18,4258.97,4606.15,4363.59,0
4301.03,3994.36,4252.82,4119.49,4332.82,4583.08,4087.69,4611.79,4195.9,4210.26,4188.21,4260.51,4601.03,4366.67,0
4313.85,4010.77,4260,4124.62,4337.44,4580.51,4088.72,4618.46,4203.59,4223.59,4198.97,4267.69,4613.33,4370.77,0
4317.44,4010.77,4258.46,4126.15,4339.49,4584.1,4094.36,4625.64,4208.21,4229.74,4201.54,4271.28,4619.49,4376.41,0
4305.64,3998.46,4251.79,4121.54,4331.79,4584.62,4094.87,4620,4200,4222.05,4196.92,4268.72,4610.77,4370.26,0
4296.92,3995.38,4249.23,4120.51,4324.62,4577.95,4088.21,4615.9,4203.08,4213.33,4197.95,4262.56,4606.15,4357.44,0
4298.97,4001.03,4247.69,4123.08,4332.82,4580,4087.18,4624.62,4220.51,4224.1,4205.64,4265.13,4615.38,4363.08,0
4302.56,4006.67,4249.74,4120.51,4342.05,4589.23,4094.87,4627.69,4216.41,4241.54,4217.95,4274.87,4627.69,4375.9,0
4308.72,4006.15,4256.41,4118.46,4333.85,4587.69,4097.95,4621.54,4206.67,4243.59,4223.08,4276.41,4633.33,4376.92,0
4315.38,4000.51,4262.56,4120.51,4329.23,4583.59,4092.82,4621.54,4210.26,4240,4218.97,4277.44,4633.85,4381.03,0
4317.95,4004.62,4268.72,4123.59,4337.95,4585.13,4087.18,4622.05,4207.18,4242.05,4217.44,4285.64,4634.87,4388.21,0
4316.41,4013.85,4267.69,4124.62,4342.56,4589.74,4089.23,4616.41,4200.51,4232.82,4213.33,4281.03,4630.26,4375.9,0
4312.31,4022.05,4278.46,4149.23,4336.92,4623.59,4081.54,4639.49,4214.36,4230.77,4186.67,4284.62,4612.31,4368.21,1
4304.1,4016.92,4273.85,4145.13,4340,4623.59,4084.1,4646.67,4223.08,4229.23,4182.05,4282.56,4606.15,4364.1,1
4303.08,4016.92,4270.77,4138.97,4342.05,4621.54,4082.56,4645.64,4220,4229.23,4180.51,4276.92,4602.05,4362.56,1
4304.62,4018.46,4272.31,4139.49,4340,4619.49,4082.56,4637.95,4203.08,4226.67,4179.49,4278.46,4602.05,4360,1
4301.03,4013.85,4268.72,4140,4341.03,4617.44,4082.05,4626.15,4196.41,4224.1,4177.95,4278.97,4603.08,4360,1
4300,4009.23,4263.59,4138.46,4342.56,4617.95,4083.59,4623.08,4205.64,4226.67,4177.95,4277.44,4601.03,4362.05,1
4302.56,4008.72,4265.13,4138.97,4336.41,4618.46,4088.72,4630.77,4211.79,4227.18,4178.46,4278.46,4602.05,4359.49,1
4297.95,4006.15,4266.15,4136.92,4330.77,4615.9,4088.21,4631.79,4207.69,4225.13,4176.41,4277.95,4605.64,4354.87,1
4293.85,4005.13,4262.56,4134.87,4332.82,4614.36,4083.59,4629.23,4204.62,4225.13,4174.87,4276.92,4602.05,4352.31,1
4298.97,4006.67,4261.03,4137.44,4337.95,4615.38,4087.18,4634.87,4207.69,4227.69,4176.41,4277.95,4599.49,4350.77,1
4296.92,4006.15,4264.1,4134.87,4339.49,4619.49,4090.26,4633.33,4206.15,4229.23,4180.51,4278.97,4606.67,4351.28,1
4289.23,4003.08,4263.59,4124.62,4338.46,4621.03,4084.1,4625.13,4200.51,4226.67,4180,4279.49,4609.23,4354.36,1
4288.72,3999.49,4254.36,4120.51,4336.92,4618.97,4082.56,4630.26,4207.18,4226.15,4177.95,4281.03,4605.13,4351.79,1
4288.21,3995.9,4248.21,4120,4334.36,4615.9,4084.62,4641.03,4214.36,4228.72,4178.46,4273.85,4600,4343.08,1
4282.56,3991.79,4250.26,4115.9,4332.31,4612.82,4077.44,4639.49,4210.77,4225.64,4175.38,4267.69,4595.9,4340,1
4280.51,3988.72,4249.23,4116.92,4332.31,4612.82,4072.31,4632.31,4207.69,4220,4173.85,4271.28,4595.38,4343.08,1
4281.03,3990.26,4245.64,4116.92,4333.85,4614.36,4074.87,4625.64,4203.08,4221.54,4171.28,4269.23,4593.33,4340.51,1
4276.92,3991.79,4245.13,4110.77,4332.82,4615.38,4073.33,4621.54,4194.36,4217.44,4162.56,4259.49,4590.26,4333.33,1
4277.44,3990.77,4246.67,4113.85,4333.33,4615.38,4072.82,4623.59,4193.33,4212.82,4160.51,4257.95,4591.79,4339.49,1
4284.62,3991.79,4251.28,4122.05,4334.36,4616.41,4080.51,4628.72,4200,4220,4165.64,4267.18,4596.41,4350.77,1
4287.69,3997.44,4260,4121.03,4333.33,4616.41,4088.72,4638.46,4212.31,4226.67,4167.69,4274.36,4597.95,4350.77,1
